국가,연도,평균 사망률,평균 의료 인력 수,1인당 보건지출,평군 소비량,평균 판매량,평균 치료비,평균 복지 비용(G$)
스웨덴,2013,25.54857142857143,71992.5,5073.265625,62.31818181818182,5578.0,17350.64,15843.6
스웨덴,2014,24.677142857142858,72998.0,5193.25927734,62.627272727272725,5508.8,17279.686666666665,15481.2
스웨덴,2015,24.691428571428574,74148.5,5331.35693359,63.78181818181818,4808.2,14768.086666666668,13233.62
스웨덴,2016,23.697142857142858,75241.0,5395.96533203,64.71818181818182,4945.8,15141.356666666667,13717.620000000004
스페인,2004,30.93142857142857,166216.5,2018.1529541,41.85,12296.5,2475.85,21555.42
스페인,2005,30.682857142857145,172583.5,2152.14648438,43.08,12895.3,2700.6666666666665,23642.65
스페인,2006,28.78857142857143,179400.0,2423.77734375,47.54,13917.1,3006.61,25815.65
스페인,2007,28.62857142857143,184650.0,2593.92871094,50.89,15786.7,3558.146666666667,30766.89
스페인,2008,27.517142857142858,192250.0,2805.49633789,54.260000000000005,18332.8,4168.363333333334,36241.96
스페인,2009,26.428571428571427,198250.0,2931.09570313,57.39,18267.2,4148.383333333333,38031.36
스페인,2010,25.497142857142858,207450.0,2894.39135742,58.25,17550.9,3976.2166666666667,35375.43
스페인,2011,24.957142857142856,211617.0,2926.57324219,59.35,17199.1,4168.776666666668,37709.4
스페인,2012,24.534285714285716,212066.5,2901.80712891,60.36,14225.2,3779.7333333333336,33782.4
스페인,2013,23.51142857142857,208716.0,2934.1262207,66.44444444444444,14170.8,3766.193333333333,34818.36
스페인,2014,22.897142857142857,207999.0,3045.47314453,68.86666666666666,15015.599999999999,3829.7133333333336,34782.76
스페인,2015,23.265714285714285,212066.5,3186.09106445,70.05555555555556,12652.5,3360.773333333333,29518.97
슬로바키아,2000,68.93142857142857,17420.0,602.36566162,40.85454545454546,331.0,0.02,511.0
슬로바키아,2001,68.77714285714285,17340.0,660.6517334,45.21818181818182,344.0,0.0,529.76
슬로바키아,2002,66.88857142857142,17215.0,733.15466309,44.77272727272727,475.2,0.84,607.23
슬로바키아,2003,66.98285714285714,16925.0,771.59796143,43.61,623.7,1.06,776.88
슬로바키아,2004,64.86285714285714,16938.0,969.39990234,38.23636363636364,624.4,15.053333333333333,905.34
슬로베니아,2007,41.16571428571429,10199.5,2076.87255859,29.89090909090909,585.8,111.64333333333333,950.4
슬로베니아,2008,39.12285714285714,10389.0,2338.09667969,31.50909090909091,660.0,137.32,1106.44
슬로베니아,2009,38.25142857142857,10642.5,2360.88232422,32.47272727272727,648.1,133.64333333333335,1128.9599999999998
슬로베니아,2010,36.66,10875.0,2385.06054688,32.71818181818182,628.8,129.47666666666666,1127.88
슬로베니아,2011,35.34571428571428,11114.0,2472.89672852,36.300000000000004,654.3,137.80666666666667,1205.1
슬로베니아,2012,34.791428571428575,11011.0,2533.16040039,40.32727272727273,583.8,125.62,1095.1
슬로베니아,2013,33.72,11274.5,2621.22412109,41.56363636363636,599.1,130.78333333333333,1151.92
슬로베니아,2014,31.759999999999998,11681.0,2625.7019043,42.154545454545456,574.3,132.62,1152.69
슬로베니아,2015,32.34285714285714,11976.0,2689.42016602,43.75454545454546,494.9,115.50333333333333,978.37
아이슬란드,2000,35.81428571428572,2348.0,2666.73071289,37.85454545454545,133.1,222.11333333333334,130.5
아이슬란드,2001,33.16285714285714,2367.5,2822.03808594,39.22727272727273,133.5,200.26,118.9
아이슬란드,2002,32.791428571428575,2422.5,3110.16259766,40.76363636363636,149.2,243.58666666666667,147.87
아이슬란드,2003,31.317142857142855,2497.5,3272.38623047,42.29090909090909,192.5,292.2,193.8
아이슬란드,2004,31.72285714285714,2527.5,3381.32373047,43.67272727272727,214.0,338.82666666666665,229.08000000000004
아이슬란드,2005,29.337142857142855,2609.0,3426.03393555,44.845454545454544,229.4,399.56666666666666,267.02
아이슬란드,2006,30.07714285714286,2631.0,3498.62109375,45.41818181818182,237.0,397.81666666666666,267.75
아이슬란드,2007,29.417142857142853,2743.5,3627.29223633,51.36,253.4,483.5233333333333,314.65
아이슬란드,2008,28.597142857142856,2941.0,3798.19482422,49.37,233.6,399.15333333333336,269.69000000000005
아이슬란드,2009,27.568571428571428,3016.5,3744.6652832,53.19,211.1,301.09,224.4
아이슬란드,2010,28.06571428571429,2883.5,3352.71362305,52.654545454545456,204.6,297.63,226.32
아이슬란드,2011,25.88285714285714,2923.0,3317.45214844,49.22727272727273,224.9,326.20666666666665,250.8
아이슬란드,2012,24.622857142857146,3002.5,3383.85449219,49.83636363636364,194.1,317.0,239.76
아이슬란드,2013,25.642857142857142,3085.5,3592.39331055,51.790909090909096,213.0,350.9533333333334,252.77
아이슬란드,2014,24.36,3106.0,3770.97680664,55.21,202.9,395.9166666666667,284.61
아이슬란드,2015,24.334285714285716,3180.5,3979.375,57.79,185.0,383.0133333333333,264.25
아이슬란드,2016,24.76,3031.0,4314.76123047,60.45,210.1,461.28,312.0
아일랜드,2011,30.985714285714284,12215.0,4813.00146484,20.8,2723.5,887.0866666666666,5464.8
아일랜드,2012,30.337142857142855,12450.0,4954.57910156,21.0,2627.1,840.82,5085.0
아일랜드,2013,29.368571428571432,12367.0,4948.54980469,21.6,2602.6,855.46,5127.75
아일랜드,2014,27.96,14029.0,4962.42431641,21.0,2542.4,870.59,5074.44
에스토니아,2000,78.02571428571429,6131.5,485.08102417,27.57,66.4,3.966666666666667,79.23
에스토니아,2001,78.34,5956.5,491.65905762,23.527272727272727,74.3,3.716666666666667,82.53
에스토니아,2002,76.46571428571428,6191.5,546.90863037,22.78181818181818,88.7,4.1933333333333325,94.72
에스토니아,2003,74.47714285714285,6259.5,635.64453125,22.11818181818182,115.2,5.94,127.71
에스토니아,2004,70.95428571428572,6314.5,741.41253662,24.254545454545454,152.4,7.830000000000001,160.93
에스토니아,2005,68.00285714285714,6386.0,838.36877441,23.809090909090912,160.0,9.456666666666667,180.48
에스토니아,2006,67.39142857142856,6389.0,917.68505859,25.836363636363636,181.4,11.090000000000002,212.5
에스토니아,2007,65.18285714285715,6477.5,1102.96923828,24.863636363636363,233.1,15.543333333333331,277.76
에스토니아,2008,62.52857142857143,6523.0,1302.35705566,25.936363636363637,280.5,19.706666666666667,368.44
에스토니아,2009,58.682857142857145,6298.0,1340.14611816,24.20909090909091,262.9,17.970000000000002,380.21
에스토니아,2010,56.114285714285714,6236.5,1365.05725098,24.80909090909091,257.2,17.103333333333335,354.6
에스토니아,2011,52.64857142857143,6327.5,1426.67285156,26.3,284.5,38.85666666666667,374.4
에스토니아,2012,52.09428571428571,6250.5,1513.63830566,28.972727272727273,284.9,38.916666666666664,361.92
에스토니아,2013,49.534285714285716,5911.5,1649.7253418,30.372727272727275,306.8,44.01,394.68
에스토니아,2014,49.308571428571426,5984.5,1769.96166992,32.300000000000004,331.4,48.30666666666667,426.12
에스토니아,2015,46.542857142857144,6198.0,1866.38952637,34.04545454545455,294.2,43.53333333333333,395.6
영국,2013,27.845714285714287,341589.0,4002.44018555,56.09090909090909,22827.9,71923.43666666666,62345.92
영국,2014,26.902857142857144,345033.0,4125.12402344,57.709090909090904,26319.5,78727.32333333333,67134.45
영국,2015,27.16857142857143,347647.0,4228.21289063,58.945454545454545,27021.7,76283.83666666666,63055.2
오스트레일리아,2000,33.791428571428575,119470.0,2155.09350586,34.95,2607.8,7298.073333333333,7556.639999999999
오스트레일리아,2001,32.60285714285714,120561.5,2277.91894531,36.660000000000004,2713.3,7148.533333333334,6622.0
오스트레일리아,2002,32.03142857142857,121874.0,2438.21826172,37.69,3130.6,8222.643333333332,6826.580000000001
오스트레일리아,2003,30.57714285714286,123897.0,2561.37768555,37.97,4065.7,10479.436666666666,8163.75
오스트레일리아,2004,29.859999999999996,128741.5,2752.94458008,39.7,5075.9,13104.653333333334,10535.0
오스트레일리아,2006,28.38,58167.0,3012.49291992,40.839999999999996,5477.5,15723.813333333332,11713.77
오스트레일리아,2007,27.197142857142858,137566.0,3181.015625,43.04,6484.1,19158.61,13564.29
오스트레일리아,2008,27.28857142857143,141522.5,3297.27905273,44.29,7119.7,20814.286666666667,18023.4
오스트레일리아,2009,25.917142857142856,144213.5,3553.89819336,44.52,7137.0,20850.78,15679.819999999998
오스트레일리아,2011,24.99142857142857,150906.0,3760.75976563,47.35,10584.2,32081.446666666667,23742.2
오스트레일리아,2012,23.885714285714286,153789.5,3778.47363281,48.13,10721.7,33525.43,26749.26
오스트레일리아,2013,23.365714285714283,167581.5,4161.62011719,47.8,11411.0,32909.61666666667,27110.64
오스트레일리아,2014,23.32857142857143,172922.0,4283.14208984,48.67,10716.1,32493.993333333332,26121.5
오스트레일리아,2015,23.2,177320.5,4388.90527344,49.019999999999996,9228.5,28563.406666666666,24465.770000000004
오스트리아,2010,31.882857142857137,47361.0,4302.70996094,31.119999999999997,3305.0,1364.0566666666666,10816.44
오스트리아,2011,30.68,48114.0,4465.65917969,31.65,3548.9,1465.7966666666664,11510.37
오스트리아,2012,30.72285714285714,48676.5,4750.58154297,32.269999999999996,3357.1,1423.3733333333332,11094.74
오스트리아,2013,30.057142857142857,49524.5,4945.44970703,32.72,3499.8,1503.5600000000002,11827.75
