"국가별","시점","항목",데이터
"일본","2000","- 천명당 약사",1.1
"일본","2000","치과의사",88416
"일본","2000","- 천명당 치과의사",0.7
"일본","2002","의사",251889
"일본","2002","- 천명당 의사",2.0
"일본","2002","약사",154428
"일본","2002","- 천명당 약사",1.2
"일본","2002","치과의사",90510
"일본","2002","- 천명당 치과의사",0.7
"일본","2002","간호사",1074629
"일본","2002","- 천명당 간호사",8.4
"일본","2004","의사",259336
"일본","2004","- 천명당 의사",2.0
"일본","2004","약사",164397
"일본","2004","- 천명당 약사",1.3
"일본","2004","치과의사",92704
"일본","2004","- 천명당 치과의사",0.7
"일본","2004","간호사",1122779
"일본","2004","- 천명당 간호사",8.8
"일본","2006","의사",266431
"일본","2006","- 천명당 의사",2.1
"일본","2006","약사",174218
"일본","2006","- 천명당 약사",1.4
"일본","2006","치과의사",94608
"일본","2006","- 천명당 치과의사",0.7
"일본","2006","간호사",1168833
"일본","2006","- 천명당 간호사",9.1
"일본","2008","의사",274992
"일본","2008","- 천명당 의사",2.2
"일본","2008","약사",186052
"일본","2008","- 천명당 약사",1.5
"일본","2008","치과의사",96690
"일본","2008","- 천명당 치과의사",0.8
"일본","2008","간호사",1227111
"일본","2008","- 천명당 간호사",9.6
"일본","2010","의사",283548
"일본","2010","- 천명당 의사",2.2
"일본","2010","약사",197616
"일본","2010","- 천명당 약사",1.5
"일본","2010","치과의사",98739
"일본","2010","- 천명당 치과의사",0.8
"일본","2010","간호사",1294234
"일본","2010","- 천명당 간호사",10.1
"일본","2012","의사",292039
"일본","2012","- 천명당 의사",2.3
"일본","2012","약사",205716
"일본","2012","- 천명당 약사",1.6
"일본","2012","치과의사",99686
"일본","2012","- 천명당 치과의사",0.8
"일본","2012","간호사",1344388
"일본","2012","- 천명당 간호사",10.5
"일본","2014","의사",300075
"일본","2014","- 천명당 의사",2.4
"일본","2014","약사",216077
"일본","2014","- 천명당 약사",1.7
"일본","2014","치과의사",100994
"일본","2014","- 천명당 치과의사",0.8
"일본","2014","간호사",1394985
