국가,연도,평균 사망률,평균 의료 인력 수,1인당 보건지출,평균 소비량,평균 판매량,평균 치료비,평균 복지 비용(G$),보건지출-복지비용 비율,보건지출-치료비 비율,보건지출-의약품 소비량 비율,의약품 판매량-의약품 소비량 비율,의료 인력-평균 치료비 비율
노르웨이,2013,24.31142857142857,53269.0,6012.88427734,53.27272727272727,3285.1,12560.993333333332,11501.6,0.522786766827224,2.08901298511105,112.86984138351536,61.66569965870307,0.23580306244407315
노르웨이,2014,23.36,54759.0,6192.90380859,54.22727272727273,3344.7,12580.37,11413.36,0.5426012855627089,2.0314169877061756,114.20275254734284,61.67929589270746,0.22974068189703978
노르웨이,2015,22.98,56470.0,6144.08496094,55.08181818181818,2823.5,10547.933333333332,9567.84,0.6421600863873141,1.7167622844394352,111.54470138692855,51.26010892886615,0.1867882651555398
노르웨이,2019,20.552777777777777,61098.0,,56.25454545454546,3227.3,11488.976666666667,10259.15,,,,57.36958629605689,0.1880417798727727
뉴질랜드,1998,40.86571428571428,,,,,,1084.66,,,,,
뉴질랜드,1999,41.879999999999995,,,,,,1093.68,,,,,
뉴질랜드,2000,38.49142857142857,8615.0,1607.13500977,,,,967.84,1.6605379089208958,,,,
뉴질랜드,2001,38.8,8491.0,1693.32580566,,,,959.42,1.7649473699318339,,,,
뉴질랜드,2002,37.64571428571429,8393.0,1834.4708252,,,,1212.12,1.5134399442299444,,,,
뉴질랜드,2003,36.46857142857143,8758.0,1853.05151367,,,,1562.91,1.1856418563257,,,,
뉴질랜드,2004,36.191428571428574,8945.0,1985.01403809,,,2132.0066666666667,1807.86,1.0979910159470314,1.0740511783574611,,,0.23834618967765978
뉴질랜드,2005,33.114285714285714,23011.0,2123.63500977,,,2484.5066666666667,2064.6,1.0285939212292938,1.1699311111544308,,,0.10797039097243348
뉴질랜드,2006,33.068571428571424,23257.5,2395.62402344,,,2504.1133333333332,2085.05,1.1489527941488213,1.0452864509755364,,,0.1076690673259522
뉴질랜드,2007,32.18857142857143,24315.0,2439.95703125,,,3016.4233333333336,2538.2,0.9612942365652826,1.2362608417690075,,,0.12405606964151074
뉴질랜드,2008,31.53142857142857,26049.0,2709.70166016,,,,2635.38,1.0282014966190833,,,,
뉴질랜드,2009,30.53142857142857,26488.5,2940.22265625,,,,2537.26,1.1588180384548685,,,,
